Black,Blue,Brown,Green,Greenyellow,Magenta,Pink,Purple,Red,Tan,Turquoise,Yellow
Gm11407,A330023F24Rik,Atp5g3,Entpd4,,Kndc1,Fgf12,Olfml3,Fth1,,2410131K14Rik,Gm15427
Gm11512,A830082K12Rik,Atp5j2,Esrra,,Lef1,Fhl1,Plek,Gab1,,2510039O18Rik,Gm15464
Gm12892,AC149090.1,Atp5k,Esrrg,,Lhfp,Flywch2,Prdx6,Gal3st1,,2610001J05Rik,Gm15590
Gm13339,AI480526,Atp5k-ps2,Fabp5,,Lrtm2,Fstl5,RP23-269H21.1,Gatm,,2610002M06Rik,Gm15710
Gm13340,AI597479,Atp5o,Fam134b,,Mb21d2,Fxyd6,Rpl18a,Gjb1,,2610021A01Rik,Gm15727
Gm13341,AI854703,Atp6ap1,Fam173a,,Medag,Gaa,S100a6,Gjc2,,2610301B20Rik,Gm15793
Gm28437,AU019823,Atp6v0a1,Fbxo3,,Megf9,Gabrg1,Serpina3n,Gjc3,,2610524H06Rik,Gm15796
Gm28438,AU022252,Atp6v0b,Fem1c,,Nell1,Galnt16,Trem2,Gltp,,2700060E02Rik,Gm15843
Gm28661,AW047730,Atp6v0d1,Fez2,,Nmnat2,Gap43,Tyrobp,Gm15440,,2700081O15Rik,Gm16005
Gm29216,Aacs,Atp6v0e2,Fgf9,,Nrip3,Glra2,Vsir,Gm15772,,2810428I15Rik,Gm16020
Gm5514,Aars2,Atp6v1b2,Fh1,,Ntng1,Glra3,,Gm5905,,2810455O05Rik,Gm17511
Gpld1,Aasdhppt,Atp6v1c1,Fkbp4,,Osbpl5,Gm11223,,Gna12,,2900064F13Rik,Gm17786
Gpr17,Aatk,Atp6v1d,Fndc5,,Patj,Gm15421,,Gnai2,,3110002H16Rik,Gm19287
Gpr37l1,Abca1,Atp6v1e1,Fuca2,,Pcp4,Gm16053,,Gng11,,3110035E14Rik,Gm19353
Gstm1,Abca7,Atp6v1f,Fundc1,,Pcp4l1,Gm1673,,Gpr37,,4833420G17Rik,Gm19366
Hba-a1,Abcb10,Atp6v1g2,Fundc2,,Pdp1,Gm9844,,Gpr62,,4930526A20Rik,Gm20430
Hba-a2,Abcb1a,Atp9a,G6pc3,,Pitpnc1,Gnas,,Gprc5b,,4931428F04Rik,Gm20568
Hbb-bs,Abcb7,Atpif1,Gas6,,Plcb4,Gnl3l,,Grb14,,4932438A13Rik,Gm2735
Hbb-bt,Abcb8,Atxn10,Glo1,,Plekha7,Gprasp1,,Gsn,,4933427D14Rik,Gm2830
Hcn2,Abcd2,B3gat3,Glrx,,Plekhg1,Gprasp2,,Hapln2,,4933434E20Rik,Gm29201
Hsd11b1,Abcd3,B4gat1,Glrx5,,Plxdc1,Grb10,,Il33,,5330417C22Rik,Gm3511
Htra1,Abcf3,BC031181,Gm12231,,Prkcd,Grin3a,,Itgb4,,5730409E04Rik,Gm36964
Id3,Abcg2,Bckdhb,Gm14150,,Prox1,Hap1,,Jam3,,5730455P16Rik,Gm37713
Jam2,Abhd10,Brsk2,Gm14328,,Ptpn3,Hdac11,,Josd2,,6030419C18Rik,Gm38247
Kcnj10,Abhd13,Bzw1,Gm14892,,Ptpn4,Hpcal1,,Lamp1,,6030458C11Rik,Gm4332
Laptm4a,Abhd17b,C1qtnf4,Gm15920,,Rab3c,Htr2c,,Lgi3,,6330403L08Rik,Gm4468
Lcat,Abhd18,Cables2,Gm17018,,Ramp3,Igsf1,,Lpar1,,9130401M01Rik,Gm4705
Ldhb,Abhd2,Cacnb4,Gm21685,,Rap1gap,Impact,,Mag,,9330121K16Rik,Gm4995
Mgp,Abhd3,Cadm3,Gm2a,,Rap1gds1,Itih3,,Mal,,9330159F19Rik,Gm4997
Mgst1,Abhd5,Cadps,Gm3756,,Rasd1,Klhl13,,Mapk8ip1,,9330162G02Rik,Gm5075
Mid1ip1,Abhd8,Calm3,Gm43712,,Rgs16,Lonrf2,,Mapt,,9530068E07Rik,Gm5093
Mlc1,Abl1,Calr,Gm6166,,Rgs4,Ly6h,,Mbp,,A230050P20Rik,Gm5453
Mt1,Acaa2,Camta1,Gm6682,,Rgs8,Nap1l5,,Megf10,,A2ml1,Gm5735
Mt2,Acad11,Capns1,Gm8566,,Rims3,Ncam1,,Mobp,,A430005L14Rik,Gm5822
Myoc,Acad8,Capza2,Gm9803,,Rnf152,Ndn,,Mog,,A830018L16Rik,Gm5963
Ndrg2,Acadl,Car4,Gpr137,,Rora,Nenf,,Myrf,,A830039N20Rik,Gm6030
Nefh,Acadm,Car7,Haghl,,Samd5,Nnat,,Nacc2,,AI314180,Gm6134
Ntm,Acadvl,Cbarp,Hdhd2,,Sema4g,Nrip2,,Ndrg1,,AI413582,Gm6170
Ntsr2,Acap2,Ccdc184,Hmga1-rs1,,Sema5a,Nrsn2,,Neat1,,AI504432,Gm6222
Paqr8,Acbd3,Cct5,Hs6st2,,Sgpp2,Pafah1b3,,Nkx6-2,,AI837181,Gm6272
Pink1,Acbd5,Cct7,Hsd17b12,,Sh3d19,Pak3,,Nmral1,,AK157302,Gm6548
Pla2g7,Acer3,Cct8,Inafm1,,Shank3,Pcbd1,,Olig1,,AU040320,Gm6745
Ppp1r9b,Ache,Cdc42,Inpp5f,,Shox2,Pcdh17,,Olig2,,AW209491,Gm6767
Rpl26,Aco1,Cdip1,Insig1,,Slc29a1,Pcsk1n,,Pacs2,,AW549877,Gm6905
Rpl31,Acot1,Cdk14,Ipo4,,Spock3,Pdxk,,Padi2,,Aagab,Gm6977
Rpn2,Acot2,Cdk16,Iscu,,Sptbn1,Peg3,,Pde8a,,Aamdc,Gm7079
Rps27,Acot8,Cdk5,Kansl3,,St3gal4,Pgrmc1,,Pdlim2,,Aamp,Gm7123
S100a1,Acox1,Cdk5r1,Kcnh2,,Synpo2,Plcxd2,,Phldb1,,Aar2,Gm7206
S1pr1,Acox3,Cdkl5,Kctd2,,Syt9,Pnck,,Pip4k2a,,Abca3,Gm7290
Sash1,Acsf3,Cend1,L1cam,,Tanc1,Pnma3,,Pkp4,,Abca5,Gm7363
Scg3,Acsl6,Cep170b,Lamtor2,,Tcf7l2,Pnmal2,,Plekhb1,,Abcb9,Gm7384
Sec62,Acss1,Cfl1,Lbh,,Thsd7a,Podxl2,,Plin3,,Abcc5,Gm7429
Sema6a,Actr8,Chchd10,Lgi2,,Tmem163,Prkacb,,Pllp,,Abce1,Gm7504
Serpine2,Acvr1c,Chgb,Limk1,,Tmem41a,Prkar1a,,Plod1,,Abcf1,Gm7536
Slc16a1,Adal,Chmp4b,Limk2,,Tnnt1,Prmt2,,Plp1,,Abcf2,Gm7589
Slc17a6,Adam9,Chrnb2,Lrrc24,,Tpd52l1,Rab9b,,Plxnb3,,Abcg1,Gm7618
Slc25a18,Adcy5,Chst11,Lrrc59,,Trnp1,Rcn1,,Pmp22,,Abhd11,Gm7867
Slc2a1,Adcy6,Chst8,Lrrc8a,,Tspan33,Rcn2,,Ppp1r14a,,Abhd12,Gm7990
Slc39a12,Add3,Cisd1,Lsm6,,Tspan9,Resp18,,Prdx1,,Abhd14a,Gm8129
Slc6a1,Adgrl3,Ckmt1,Manf,,Tunar,Rgag4,,Prr18,,Abhd16a,Gm8213
Slc6a11,Adgrl4,Clcn4,Mfsd6,,Vav3,Rgs17,,Prr5l,,Abhd17a,Gm8292
Slc6a9,Adhfe1,Cldn12,Miga2,,Vwc2,Rit2,,Psat1,,Abhd17c,Gm8451
Slc7a10,Adi1,Clec16a,Mir124-2hg,,Xylt2,Rpl22l1,,Ptgds,,Abhd6,Gm8618
Sparc,Adipor2,Clec2l,Mroh1,,Zfp804a,Rwdd2a,,Ptprd,,Abi1,Gm8623
Sparcl1,Adk,Clip3,Mrpl12,,Zic1,Samd14,,Qdpr,,Abi2,Gm8624
Timp3,Ado,Clstn1,Mrpl15,,Zmat4,Scg2,,Qk,,Abl2,Gm8692
Tmcc2,Adpgk,Clstn3,Mrpl18,,,Sdc3,,Rassf2,,Ablim1,Gm8731
Tmem176b,Adprm,Clta,Mrpl34,,,Slc22a17,,Rcan2,,Ablim2,Gm8805
Trp53inp2,Adra2a,Cltb,Mrpl52,,,Smim17,,Rhog,,Abr,Gm9396
Tsc22d3,Adsl,Cltc,Mrps6,,,Stmn1,,Rnf13,,Abracl,Gm9701
Ttyh1,Adssl1,Cntn1,Msrb1,,,Tac1,,Rpl36,,Abtb1,Gm9703
Tuba1a,Afap1,Cntn4,Mtfr1l,,,Tagln3,,Rps27a,,Acaa1a,Gm9843
Vamp1,Afap1l1,Cntnap1,Mypop,,,Timp2,,Rps4x,,Acaca,Pmch
Zfhx3,Afg3l1,Coa3,Nap1l2,,,Tmem130,,Rps9,,Acadsb,RP23-13B8.12
mt-Atp6,Agap1,Cog4,Nap1l3,,,Tmem255a,,Rpsa,,Acap3,RP23-246F14.1
mt-Atp8,Aggf1,Copg1,Ndufaf2,,,Tmem91,,Rpsa-ps9,,Acat1,RP23-2N7.4
mt-Co1,Agl,Cox4i1,Ndufaf5,,,Tmsb10,,S100a16,,Acat2,RP23-464F18.3
mt-Co2,Ago3,Cox5a,Ndufb7,,,Tmx4,,S100b,,Acbd4,RP23-58B7.2
mt-Co3,Agpat3,Cox5b,Nova1,,,Tox2,,S1pr5,,Acbd6,RP23-70B19.5
mt-Cytb,Agpat4,Cox6a1,Nr1d2,,,Tspyl2,,Sccpdh,,Acd,RP24-142I9.2
mt-Nd1,Agps,Cox6a2,Nrbp1,,,Usp11,,Scd1,,Acin1,RP24-502M22.1
mt-Nd2,Agrn,Cox6b1,Nxph1,,,Usp29,,Scd2,,Ackr1,Rpl11
mt-Nd3,Ahctf1,Cox6c,Oaz1-ps,,,Vat1,,Sec11c,,Acot9,Rpl12
mt-Nd4,Ahcyl1,Cox7a2,Olfm3,,,Vat1l,,Selenop,,Acp1,Rpl13
mt-Nd4l,Ahcyl2,Cox8a,Oprl1,,,Wdr6,,Sept4,,Acp2,Rpl13-ps3
mt-Nd5,Ahnak,Cpe,Osbpl2,,,Zcchc12,,Serpinb1a,,Acsl1,Rpl13a
mt-Ta,Aifm1,Cplx1,Paics,,,Zcchc18,,Sez6l2,,Acsl4,Rpl17
mt-Tc,Aimp2,Cs,Pam16,,,Zdbf2,,Sirt2,,Acsl5,Rpl17-ps10
mt-Te,Ak2,Csde1,Paqr4,,,Zwint,,Slain1,,Acta1,Rpl17-ps4
mt-Tf,Ak3,Cuedc2,Paqr7,,,,,Slc12a2,,Actl6b,Rpl17-ps5
mt-Th,Akap12,Cx3cl1,Pcdh9,,,,,Slc38a2,,Actn1,Rpl17-ps9
mt-Ti,Akap13,Cyc1,Pcx,,,,,Slc44a1,,Actn4,Rpl19
mt-Tl1,Akap17b,Cycs,Pepd,,,,,Slc48a1,,Actr10,Rpl27a
mt-Tl2,Akap7,Cyhr1,Pfdn2,,,,,Sox10,,Actr1a,Rpl29
mt-Tm,Akirin1,Cyp46a1,Pgm2,,,,,Sox2ot,,Actr1b,Rpl30
mt-Tn,Akr1b10,D630045J12Rik,Pgrmc2,,,,,Stmn4,,Actr2,Rpl30-ps1
mt-Tp,Akr1e1,Dctn2,Pigk,,,,,Syt11,,Actr3,Rpl30-ps10
mt-Tq,Akt1s1,Dctn3,Plekha6,,,,,Taldo1,,Actr3b,Rpl30-ps11
mt-Tr,Alad,Ddb1,Pmvk,,,,,Tmbim1,,Actr6,Rpl30-ps3
mt-Ts2,Alcam,Ddx24,Ppp2r5d,,,,,Tmcc3,,Acvr1,Rpl30-ps8
mt-Tt,Aldh1l1,Diras1,Pptc7,,,,,Tmem229a,,Acvr1b,Rpl30-ps9
mt-Tv,Aldh2,Dlgap3,Prelid3b,,,,,Tmem63a,,Acvr2a,Rpl31-ps12
mt-Tw,Aldh4a1,Dlgap4,Prmt1,,,,,Tmem88b,,Acyp1,Rpl34
,Aldh6a1,Dnaja1,Prpsap1,,,,,Tmem98,,Adam10,Rpl34-ps1
,Aldh7a1,Dnaja2,Prr13,,,,,Tnfaip6,,Adam11,Rpl34-ps2
,Aldh9a1,Dnajc5,Prune2,,,,,Tppp3,,Adam15,Rpl35
,Alg1,Dnm1,Psmb10,,,,,Tprn,,Adam22,Rpl35a
,Alg14,Dnm1l,Psmc5,,,,,Trf,,Adat3,Rpl37
,Alg5,Dpysl2,Ptpa,,,,,Trim59,,Adck1,Rpl37rt
,Alkbh5,Dscam,RP24-91J7.1,,,,,Tsc22d4,,Adcy1,Rpl38
,Alkbh7,Dusp1,Rab11fip5,,,,,Tspan2,,Adcy2,Rpl38-ps1
,Amd-ps3,Dusp3,Rab4a,,,,,Tspyl4,,Adcy3,Rpl38-ps2
,Amd1,Dusp5,Ranbp6,,,,,Ttll7,,Add1,Rpl39-ps
,Amd2,Dync1h1,Rgs10,,,,,Ttyh2,,Add2,Rpl41
,Amer2,Dync1i1,Rida,,,,,Tubb4a,,Adgrb2,Rpl9
,Amigo1,Dynll2,Rsrc1,,,,,Ugt8a,,Adgrb3,Rplp1
,Amot,Dynlrb1,Rtcb,,,,,Wnk1,,Adgrl1,Rplp2
,Amotl2,Edf1,Sacm1l,,,,,Wscd1,,Adgrl2,Rps10
,Ampd3,Eef1a2,Sall2,,,,,,,Adh5,Rps10-ps1
,Anapc10,Eif1,Scn1a,,,,,,,Adipor1,Rps10-ps2
,Anapc13,Eif4a2,Sdr39u1,,,,,,,Adnp2,Rps11
,Anapc4,Eif4h,Slc20a1,,,,,,,Adora1,Rps12
,Anapc7,Eif5a,Slc22a23,,,,,,,Adprhl2,Rps12-ps10
,Ank1,Eloc,Slc25a33,,,,,,,Adrb1,Rps12-ps19
,Ank3,Emc10,Slc25a39,,,,,,,Adrm1,Rps12-ps24
,Ankfy1,Endog,Slc32a1,,,,,,,Adss,Rps12-ps5
,Ankhd1,Eno1,Slc38a1,,,,,,,Aebp2,Rps12-ps9
,Ankib1,Eno1b,Smarcd3,,,,,,,Afdn,Rps12l1
,Ankrd11,Eno2,Smim12,,,,,,,Aff3,Rps15
,Ankrd12,Enpp5,Smim19,,,,,,,Aff4,Rps15-ps2
,Ankrd13a,Epn1,Snrk,,,,,,,Afg3l2,Rps16
,Ankrd24,Eri3,Snrpe,,,,,,,Aftph,Rps16-ps2
,Ankrd28,Evl,Snx1,,,,,,,Agap2,Rps17
,Ankrd40,Faim2,Snx5,,,,,,,Agap3,Rps18
,Anks3,Fam134a,Sod1,,,,,,,Agfg1,Rps19
,Ano1,Fam219a,Srpr,,,,,,,Agfg2,Rps19-ps13
,Ano4,Fam49b,Srxn1,,,,,,,Agk,Rps19-ps2
,Anp32b,Fam57b,Tango2,,,,,,,Ago1,Rps19-ps3
,Anxa3,Fam69b,Tceal1,,,,,,,Ago2,Rps19-ps4
,Ap3m1,Far2,Timm23,,,,,,,Agpat1,Rps19-ps5
,Ap5s1,Fasn,Tkt,,,,,,,Ahdc1,Rps19-ps6
,Apbb2,Fbxo44,Tm2d3,,,,,,,Ahsa1,Rps19-ps7
,Apc,Fbxo9,Tmed3,,,,,,,Ahsa2,Rps19-ps9
,Apeh,Fkbp3,Tmem246,,,,,,,Aida,Rps20
,Aph1a,Fkbp8,Tmem41b,,,,,,,Aifm3,Rps21
,Aph1b,Fndc10,Tmem60,,,,,,,Aimp1,Rps23
,Apip,Fscn1,Tmx3,,,,,,,Aip,Rps23-ps1
,Appl2,Fsd1,Tomm5,,,,,,,Ajap1,Rps23-ps2
,Aqr,Fto,Tram1l1,,,,,,,Ak1,Rps24
,Ar,G3bp2,Tsn,,,,,,,Ak4,Rps24-ps2
,Arcn1,Gabarapl1,Tuba1b,,,,,,,Ak5,Rps24-ps3
,Arfgap3,Gabbr1,Tuba1c,,,,,,,Ak6,Rps28
,Arfgef2,Gabra1,Ube2o,,,,,,,Akap1,Rps29
,Arfip1,Gabrd,Usp8,,,,,,,Akap11,Rps3
,Arhgap27,Gabrg2,Vamp7,,,,,,,Akap5,Rps5
,Arhgap31,Gars,Vapb,,,,,,,Akap6,Rps7
,Arhgap35,Gde1,Vegfb,,,,,,,Akap8,Tpt1
,Arhgef1,Gdi1,Vps39,,,,,,,Akap8l,Tpt1-ps3
,Arhgef10l,Gdi2,Wdr37,,,,,,,Akap9,Tpt1-ps5
,Arhgef12,Ggt7,Wrb,,,,,,,Akirin2,Tpt1-ps6
,Arhgef15,Ghitm,Wwp1,,,,,,,Akt1,Uba52
,Arhgef26,Glrb,Zcchc17,,,,,,,Akt2,Wdr89
,Arhgef28,Glrx3,Zfas1,,,,,,,Akt3,Zbed5
,Arhgef40,Gls,,,,,,,,Alas1,
,Arid1a,Gm10053,,,,,,,,Aldh3a2,
,Arid2,Gm11273,,,,,,,,Aldoart1,
,Arid4a,Gm11438,,,,,,,,Alg11,
,Arid4b,Gm11927,,,,,,,,Alg2,
,Arid5b,Gm11964,,,,,,,,Alkbh6,
,Arl1,Gm12251,,,,,,,,Alkbh8,
,Arl14ep,Gm12389,,,,,,,,Alyref,
,Arl16,Gm12669,,,,,,,,Ambra1,
,Arl2bp,Gm13186,,,,,,,,Amer3,
,Arl5a,Gm14238,,,,,,,,Amfr,
,Armc5,Gm14450,,,,,,,,Ammecr1l,
,Armc6,Gm14630,,,,,,,,Amn1,
,Armc9,Gm15459,,,,,,,,Ampd2,
,Arnt,Gm15800,,,,,,,,Amz2,
,Arsa,Gm16165,,,,,,,,Anapc1,
,Arx,Gm16399,,,,,,,,Anapc11,
,As3mt,Gm1821,,,,,,,,Anapc16,
,Asah1,Gm1840,,,,,,,,Anapc5,
,Asb7,Gm4707,,,,,,,,Angel2,
,Ascc1,Gm4943,,,,,,,,Ank,
,Asf1a,Gm5436,,,,,,,,Ank2,
,Ass1,Gm5560,,,,,,,,Ankle2,
,Ate1,Gm5575,,,,,,,,Ankmy2,
,Atg16l1,Gm5601,,,,,,,,Ankra2,
,Atg4d,Gm6265,,,,,,,,Ankrd10,
,Atic,Gm6415,,,,,,,,Ankrd13b,
,Atl3,Gm6946,,,,,,,,Ankrd13c,
,Atp11a,Gm8100,,,,,,,,Ankrd13d,
,Atp11b,Gm8337,,,,,,,,Ankrd17,
,Atp11c,Gm8355,,,,,,,,Ankrd27,
,Atp13a1,Gm9008,,,,,,,,Ankrd33b,
,Atp5e,Gm9866,,,,,,,,Ankrd34a,
,Atp5h,Gnao1,,,,,,,,Ankrd45,
,Atp5j,Gnb1,,,,,,,,Ankrd46,
,Atp5l-ps1,Gnb2,,,,,,,,Ankrd49,
,Atp5s,Gng3,,,,,,,,Ankrd50,
,Atp6v0e,Got1,,,,,,,,Ankrd6,
,Atp8b2,Got2,,,,,,,,Anks1b,
,Atp9b,Gpaa1,,,,,,,,Ano3,
,Atpaf2,Gpc1,,,,,,,,Ano8,
,Atxn2,Gpi1,,,,,,,,Anp32a,
,Atxn2l,Gpr12,,,,,,,,Anp32e,
,Atxn3,Grin1,,,,,,,,Anxa11,
,Atxn7l1,Grin2b,,,,,,,,Anxa6,
,Aven,Grina,,,,,,,,Anxa7,
,Axin2,Gsk3a,,,,,,,,Ap1ar,
,B230354K17Rik,Gtf2i,,,,,,,,Ap1g1,
,B3galt5,Hapln4,,,,,,,,Ap1m1,
,B3glct,Hcfc1r1,,,,,,,,Ap1s1,
,B4galt7,Herpud1,,,,,,,,Ap2b1,
,B930095G15Rik,Hint1,,,,,,,,Ap2s1,
,B9d1,Hmgcs1,,,,,,,,Ap3b1,
,BC003331,Hnrnpa3,,,,,,,,Ap3b2,
,BC005537,Hprt,,,,,,,,Ap3d1,
,Bahd1,Hrh3,,,,,,,,Ap3m2,
,Baz1b,Hs3st1,,,,,,,,Ap3s1,
,Baz2b,Hsp90aa1,,,,,,,,Ap3s2,
,Bbs1,Hspa12a,,,,,,,,Ap4s1,
,Bbx,Hspa4,,,,,,,,Apba1,
,Bcap29,Hspa5,,,,,,,,Apba2,
,Bckdha,Hspa8,,,,,,,,Apc2,
,Bckdk,Hspa9,,,,,,,,Apex1,
,Bcl2,Hsph1,,,,,,,,Api5,
,Bcl9l,Idh3a,,,,,,,,Apmap,
,Bclaf1,Idh3g,,,,,,,,Apoa1bp,
,Bcor,Idnk,,,,,,,,Apoo,
,Bcs1l,Iffo1,,,,,,,,Apoo-ps,
,Bdp1,Igip,,,,,,,,Apopt1,
,Bet1,Igsf21,,,,,,,,Appbp2,
,Bhlhe41,Ina,,,,,,,,Appl1,
,Bicd2,Inpp5j,,,,,,,,Aprt,
,Birc2,Iqsec1,,,,,,,,Aptx,
,Blmh,Itfg1,,,,,,,,Aqp11,
