gene,group
PPM1G,broadly_reactive_cysteine
INPPL1,broadly_reactive_cysteine
FANCA,broadly_reactive_cysteine
EIF3D,broadly_reactive_cysteine
EIF3H,broadly_reactive_cysteine
HDAC3,broadly_reactive_cysteine
NVL,broadly_reactive_cysteine
BCAT2,broadly_reactive_cysteine
BIRC5,broadly_reactive_cysteine
IPO8,broadly_reactive_cysteine
TNRC18,broadly_reactive_cysteine
ABCC5,broadly_reactive_cysteine
CD3EAP,broadly_reactive_cysteine
MSH4,broadly_reactive_cysteine
P4HA2,broadly_reactive_cysteine
ARPC5,broadly_reactive_cysteine
POLR2D,broadly_reactive_cysteine
CFLAR,broadly_reactive_cysteine
DDX3Y,broadly_reactive_cysteine
OGG1,broadly_reactive_cysteine
PDPK1,broadly_reactive_cysteine
TAPBP,broadly_reactive_cysteine
RNF113A,broadly_reactive_cysteine
KDM6A,broadly_reactive_cysteine
DHX15,broadly_reactive_cysteine
RNMT,broadly_reactive_cysteine
ZZEF1,broadly_reactive_cysteine
RRP8,broadly_reactive_cysteine
PJA2,broadly_reactive_cysteine
SIPA1L1,broadly_reactive_cysteine
ZBTB24,broadly_reactive_cysteine
CYB5B,broadly_reactive_cysteine
PRPF4,broadly_reactive_cysteine
PHGDH,broadly_reactive_cysteine
IRAK2,broadly_reactive_cysteine
PHF1,broadly_reactive_cysteine
DYNC1LI2,broadly_reactive_cysteine
PSMD3,broadly_reactive_cysteine
PAPSS1,broadly_reactive_cysteine
SIAH2,broadly_reactive_cysteine
ZNHIT1,broadly_reactive_cysteine
ZW10,broadly_reactive_cysteine
SART1,broadly_reactive_cysteine
GPAA1,broadly_reactive_cysteine
DAPK3,broadly_reactive_cysteine
TGFB1I1,broadly_reactive_cysteine
ZNF264,broadly_reactive_cysteine
ZBTB43,broadly_reactive_cysteine
AP5Z1,broadly_reactive_cysteine
CCP110,broadly_reactive_cysteine
ZSCAN12,broadly_reactive_cysteine
CTIF,broadly_reactive_cysteine
MTSS1,broadly_reactive_cysteine
PPIP5K2,broadly_reactive_cysteine
MAP3K7,broadly_reactive_cysteine
EEF1E1,broadly_reactive_cysteine
RIPK2,broadly_reactive_cysteine
WDR62,broadly_reactive_cysteine
HNRNPR,broadly_reactive_cysteine
PRPF3,broadly_reactive_cysteine
TXNL1,broadly_reactive_cysteine
EMC8,broadly_reactive_cysteine
ERI3,broadly_reactive_cysteine
PRKRIR,broadly_reactive_cysteine
SYNJ1,broadly_reactive_cysteine
FIBP,broadly_reactive_cysteine
EIF4G3,broadly_reactive_cysteine
CBFA2T2,broadly_reactive_cysteine
PPIH,broadly_reactive_cysteine
SUV39H1,broadly_reactive_cysteine
KLF4,broadly_reactive_cysteine
AKR7A2,broadly_reactive_cysteine
EPB41L2,broadly_reactive_cysteine
RAD51C,broadly_reactive_cysteine
HBXIP,broadly_reactive_cysteine
MED7,broadly_reactive_cysteine
WIPF1,broadly_reactive_cysteine
BCL2L11,broadly_reactive_cysteine
XRCC3,broadly_reactive_cysteine
TNFSF14,broadly_reactive_cysteine
RGS14,broadly_reactive_cysteine
AKAP10,broadly_reactive_cysteine
DENR,broadly_reactive_cysteine
PSTPIP1,broadly_reactive_cysteine
XPOT,broadly_reactive_cysteine
HR,broadly_reactive_cysteine
RCL,broadly_reactive_cysteine
SPRY1,broadly_reactive_cysteine
TRAPPC3,broadly_reactive_cysteine
NCK2,broadly_reactive_cysteine
PLRG1,broadly_reactive_cysteine
PRC1,broadly_reactive_cysteine
RGS10,broadly_reactive_cysteine
ZNF207,broadly_reactive_cysteine
NDUFA2,broadly_reactive_cysteine
ASNA1,broadly_reactive_cysteine
BUB1,broadly_reactive_cysteine
BUB3,broadly_reactive_cysteine
SULT1B1,broadly_reactive_cysteine
ACTN4,broadly_reactive_cysteine
GSTZ1,broadly_reactive_cysteine
WBSCR22,broadly_reactive_cysteine
HTATSF1,broadly_reactive_cysteine
TRAF3IP2,broadly_reactive_cysteine
ITM2A,broadly_reactive_cysteine
PRKAB2,broadly_reactive_cysteine
AP1G1,broadly_reactive_cysteine
SGTA,broadly_reactive_cysteine
SLC25A20,broadly_reactive_cysteine
NARS,broadly_reactive_cysteine
SPOP,broadly_reactive_cysteine
MYO1B,broadly_reactive_cysteine
SSNA1,broadly_reactive_cysteine
LANCL1,broadly_reactive_cysteine
STRN,broadly_reactive_cysteine
RRP9,broadly_reactive_cysteine
AKAP8,broadly_reactive_cysteine
ZFP161,broadly_reactive_cysteine
IDH3B,broadly_reactive_cysteine
NRD1,broadly_reactive_cysteine
ATP9B,broadly_reactive_cysteine
AHCYL1,broadly_reactive_cysteine
KIF1C,broadly_reactive_cysteine
PRICKLE3,broadly_reactive_cysteine
EXTL3,broadly_reactive_cysteine
ORC5,broadly_reactive_cysteine
ORC4,broadly_reactive_cysteine
PEX1,broadly_reactive_cysteine
RAD21,broadly_reactive_cysteine
DHX16,broadly_reactive_cysteine
SSSCA1,broadly_reactive_cysteine
PPP1R12B,broadly_reactive_cysteine
SH3BP5,broadly_reactive_cysteine
MED14,broadly_reactive_cysteine
PRPSAP2,broadly_reactive_cysteine
SMARCA5,broadly_reactive_cysteine
KIAA0513,broadly_reactive_cysteine
SPAG9,broadly_reactive_cysteine
ZNF292,broadly_reactive_cysteine
URB1,broadly_reactive_cysteine
SIPA1L3,broadly_reactive_cysteine
ZFC3H1,broadly_reactive_cysteine
AQR,broadly_reactive_cysteine
MAST3,broadly_reactive_cysteine
CEP104,broadly_reactive_cysteine
ATP10A,broadly_reactive_cysteine
OPA1,broadly_reactive_cysteine
ZEB2,broadly_reactive_cysteine
MCM3AP,broadly_reactive_cysteine
PIP5K1C,broadly_reactive_cysteine
KIF1B,broadly_reactive_cysteine
MAPKBP1,broadly_reactive_cysteine
6-Mar,broadly_reactive_cysteine
KDM1A,broadly_reactive_cysteine
TBC1D4,broadly_reactive_cysteine
PHLPP1,broadly_reactive_cysteine
HBP1,broadly_reactive_cysteine
FADS1,broadly_reactive_cysteine
PPL,broadly_reactive_cysteine
DFNA5,broadly_reactive_cysteine
LY75,broadly_reactive_cysteine
PLXNC1,broadly_reactive_cysteine
ACSL4,broadly_reactive_cysteine
SNX3,broadly_reactive_cysteine
CUBN,broadly_reactive_cysteine
DOK2,broadly_reactive_cysteine
MGEA5,broadly_reactive_cysteine
SORBS3,broadly_reactive_cysteine
SYNCRIP,broadly_reactive_cysteine
CDC40,broadly_reactive_cysteine
EIF4EBP3,broadly_reactive_cysteine
RANBP6,broadly_reactive_cysteine
GMDS,broadly_reactive_cysteine
NMT2,broadly_reactive_cysteine
CCNT1,broadly_reactive_cysteine
BUB1B,broadly_reactive_cysteine
PLOD3,broadly_reactive_cysteine
CCNT2,broadly_reactive_cysteine
DIAPH1,broadly_reactive_cysteine
EXOC3,broadly_reactive_cysteine
PLIN3,broadly_reactive_cysteine
FAIM3,broadly_reactive_cysteine
RAD1,broadly_reactive_cysteine
JAK2,broadly_reactive_cysteine
PRMT3,broadly_reactive_cysteine
KPNA6,broadly_reactive_cysteine
UGDH,broadly_reactive_cysteine
TPST2,broadly_reactive_cysteine
LPXN,broadly_reactive_cysteine
PLA2G6,broadly_reactive_cysteine
EIF1B,broadly_reactive_cysteine
SNX2,broadly_reactive_cysteine
CYTIP,broadly_reactive_cysteine
HPGDS,broadly_reactive_cysteine
USO1,broadly_reactive_cysteine
MRPS14,broadly_reactive_cysteine
TOM1,broadly_reactive_cysteine
PFKFB2,broadly_reactive_cysteine
CCDC22,broadly_reactive_cysteine
PQBP1,broadly_reactive_cysteine
TIMM17B,broadly_reactive_cysteine
PRAF2,broadly_reactive_cysteine
DKC1,broadly_reactive_cysteine
EIF5B,broadly_reactive_cysteine
KIN,broadly_reactive_cysteine
DIAPH2,broadly_reactive_cysteine
SH2D1A,broadly_reactive_cysteine
DNAJA2,broadly_reactive_cysteine
BRD4,broadly_reactive_cysteine
CUTA,broadly_reactive_cysteine
SMPD2,broadly_reactive_cysteine
TBL1X,broadly_reactive_cysteine
HUS1,broadly_reactive_cysteine
PPP1R11,broadly_reactive_cysteine
RNASEH1,broadly_reactive_cysteine
NBN,broadly_reactive_cysteine
DTNB,broadly_reactive_cysteine
RNGTT,broadly_reactive_cysteine
ABCB7,broadly_reactive_cysteine
KIF21B,broadly_reactive_cysteine
PLCH2,broadly_reactive_cysteine
SRGAP2,broadly_reactive_cysteine
WDR1,broadly_reactive_cysteine
ATP9A,broadly_reactive_cysteine
N4BP1,broadly_reactive_cysteine
ROCK2,broadly_reactive_cysteine
CLASP2,broadly_reactive_cysteine
CPNE3,broadly_reactive_cysteine
ZBED4,broadly_reactive_cysteine
DEPDC5,broadly_reactive_cysteine
ATG13,broadly_reactive_cysteine
HIP1R,broadly_reactive_cysteine
RNF40,broadly_reactive_cysteine
PHF2,broadly_reactive_cysteine
ZC3H11A,broadly_reactive_cysteine
KIAA0664,broadly_reactive_cysteine
TSC22D2,broadly_reactive_cysteine
KDM4A,broadly_reactive_cysteine
DNAJC13,broadly_reactive_cysteine
PHACTR2,broadly_reactive_cysteine
PPP6R2,broadly_reactive_cysteine
CNOT3,broadly_reactive_cysteine
SS18L1,broadly_reactive_cysteine
ANKRD17,broadly_reactive_cysteine
SIN3B,broadly_reactive_cysteine
DNAJB6,broadly_reactive_cysteine
XYLB,broadly_reactive_cysteine
COQ9,broadly_reactive_cysteine
GGCT,broadly_reactive_cysteine
NDUFS7,broadly_reactive_cysteine
NDUFS2,broadly_reactive_cysteine
DUSP11,broadly_reactive_cysteine
GBAS,broadly_reactive_cysteine
SEMA7A,broadly_reactive_cysteine
HMMR,broadly_reactive_cysteine
PDCD6,broadly_reactive_cysteine
TBCA,broadly_reactive_cysteine
ATP6V1G1,broadly_reactive_cysteine
VPS4B,broadly_reactive_cysteine
ZNF217,broadly_reactive_cysteine
H2AFY,broadly_reactive_cysteine
FLNB,broadly_reactive_cysteine
NCOR1,broadly_reactive_cysteine
NDUFS6,broadly_reactive_cysteine
ULK1,broadly_reactive_cysteine
SLC43A1,broadly_reactive_cysteine
CS,broadly_reactive_cysteine
SPAG7,broadly_reactive_cysteine
MRPL33,broadly_reactive_cysteine
DEAF1,broadly_reactive_cysteine
PRPF40A,broadly_reactive_cysteine
TACC1,broadly_reactive_cysteine
CDC45,broadly_reactive_cysteine
GIGYF1,broadly_reactive_cysteine
LRCH4,broadly_reactive_cysteine
MTX2,broadly_reactive_cysteine
PMPCB,broadly_reactive_cysteine
MAF,broadly_reactive_cysteine
SAP30,broadly_reactive_cysteine
MED24,broadly_reactive_cysteine
KATNA1,broadly_reactive_cysteine
ERN1,broadly_reactive_cysteine
PSIP1,broadly_reactive_cysteine
ERLIN1,broadly_reactive_cysteine
TADA2A,broadly_reactive_cysteine
SUPT3H,broadly_reactive_cysteine
NDUFS3,broadly_reactive_cysteine
CLN5,broadly_reactive_cysteine
ECI2,broadly_reactive_cysteine
TADA3,broadly_reactive_cysteine
TAF5L,broadly_reactive_cysteine
EED,broadly_reactive_cysteine
BANF1,broadly_reactive_cysteine
SF3B1,broadly_reactive_cysteine
CSDE1,broadly_reactive_cysteine
STX11,broadly_reactive_cysteine
SKAP2,broadly_reactive_cysteine
PRKRA,broadly_reactive_cysteine
MTRF1,broadly_reactive_cysteine
RPS6KA5,broadly_reactive_cysteine
MED6,broadly_reactive_cysteine
MYCBP2,broadly_reactive_cysteine
GCAT,broadly_reactive_cysteine
NPM3,broadly_reactive_cysteine
LYPLA1,broadly_reactive_cysteine
ERAL1,broadly_reactive_cysteine
PRDM1,broadly_reactive_cysteine
SNRNP200,broadly_reactive_cysteine
TRMU,broadly_reactive_cysteine
TIPRL,broadly_reactive_cysteine
OFD1,broadly_reactive_cysteine
RPS6KA4,broadly_reactive_cysteine
SURF6,broadly_reactive_cysteine
PPM1B,broadly_reactive_cysteine
UTP20,broadly_reactive_cysteine
NUP155,broadly_reactive_cysteine
RP2,broadly_reactive_cysteine
STK16,broadly_reactive_cysteine
WDHD1,broadly_reactive_cysteine
SLC25A12,broadly_reactive_cysteine
TCEA3,broadly_reactive_cysteine
GRAP2,broadly_reactive_cysteine
RNASEH2A,broadly_reactive_cysteine
CDC123,broadly_reactive_cysteine
SOLH,broadly_reactive_cysteine
POP7,broadly_reactive_cysteine
RPP40,broadly_reactive_cysteine
ZNF189,broadly_reactive_cysteine
EIF3G,broadly_reactive_cysteine
EIF3J,broadly_reactive_cysteine
CBR3,broadly_reactive_cysteine
PSMD10,broadly_reactive_cysteine
AP1G2,broadly_reactive_cysteine
ZMPSTE24,broadly_reactive_cysteine
SC5DL,broadly_reactive_cysteine
PPP1R37,broadly_reactive_cysteine
IDH1,broadly_reactive_cysteine
PET112,broadly_reactive_cysteine
RBBP9,broadly_reactive_cysteine
DHRS3,broadly_reactive_cysteine
PIAS1,broadly_reactive_cysteine
PIAS2,broadly_reactive_cysteine
BCAS2,broadly_reactive_cysteine
DCTN3,broadly_reactive_cysteine
SMNDC1,broadly_reactive_cysteine
ATP5H,broadly_reactive_cysteine
FLOT1,broadly_reactive_cysteine
SASH3,broadly_reactive_cysteine
GLRX3,broadly_reactive_cysteine
RSL1D1,broadly_reactive_cysteine
CLPX,broadly_reactive_cysteine
RNF8,broadly_reactive_cysteine
CIAO1,broadly_reactive_cysteine
DFFB,broadly_reactive_cysteine
ZFAND5,broadly_reactive_cysteine
SRP72,broadly_reactive_cysteine
TRPM2,broadly_reactive_cysteine
RECQL4,broadly_reactive_cysteine
RECQL5,broadly_reactive_cysteine
URI1,broadly_reactive_cysteine
STK17B,broadly_reactive_cysteine
MTA2,broadly_reactive_cysteine
USP1,broadly_reactive_cysteine
STK10,broadly_reactive_cysteine
PRKD3,broadly_reactive_cysteine
ATG12,broadly_reactive_cysteine
KBTBD11,broadly_reactive_cysteine
LTN1,broadly_reactive_cysteine
TOMM70A,broadly_reactive_cysteine
IPO13,broadly_reactive_cysteine
DDHD2,broadly_reactive_cysteine
MYO1D,broadly_reactive_cysteine
DDN,broadly_reactive_cysteine
MICAL2,broadly_reactive_cysteine
SEC24D,broadly_reactive_cysteine
FCHSD2,broadly_reactive_cysteine
UFL1,broadly_reactive_cysteine
PHF14,broadly_reactive_cysteine
TMEM63A,broadly_reactive_cysteine
UBXN7,broadly_reactive_cysteine
TOX,broadly_reactive_cysteine
SUN1,broadly_reactive_cysteine
PROSC,broadly_reactive_cysteine
ERLIN2,broadly_reactive_cysteine
PRPF6,broadly_reactive_cysteine
PCF11,broadly_reactive_cysteine
FRYL,broadly_reactive_cysteine
NFAT5,broadly_reactive_cysteine
GLS,broadly_reactive_cysteine
HAUS5,broadly_reactive_cysteine
UBOX5,broadly_reactive_cysteine
KDM4B,broadly_reactive_cysteine
USP19,broadly_reactive_cysteine
WDR47,broadly_reactive_cysteine
TRIM37,broadly_reactive_cysteine
AP2A2,broadly_reactive_cysteine
SEC31A,broadly_reactive_cysteine
CEP152,broadly_reactive_cysteine
HEXIM1,broadly_reactive_cysteine
RPP14,broadly_reactive_cysteine
CCNB2,broadly_reactive_cysteine
UBR5,broadly_reactive_cysteine
AGFG2,broadly_reactive_cysteine
SCAF4,broadly_reactive_cysteine
ZNF202,broadly_reactive_cysteine
MFN2,broadly_reactive_cysteine
SNUPN,broadly_reactive_cysteine
UBE4B,broadly_reactive_cysteine
ZFPL1,broadly_reactive_cysteine
IKBKAP,broadly_reactive_cysteine
NDUFA7,broadly_reactive_cysteine
VAMP5,broadly_reactive_cysteine
RTN3,broadly_reactive_cysteine
RCBTB2,broadly_reactive_cysteine
LETM1,broadly_reactive_cysteine
STBD1,broadly_reactive_cysteine
LEPROTL1,broadly_reactive_cysteine
ZRANB2,broadly_reactive_cysteine
SNX4,broadly_reactive_cysteine
ZWINT,broadly_reactive_cysteine
LUC7L3,broadly_reactive_cysteine
KIF20A,broadly_reactive_cysteine
APOL3,broadly_reactive_cysteine
KIF4A,broadly_reactive_cysteine
MBD4,broadly_reactive_cysteine
SBF1,broadly_reactive_cysteine
GOSR1,broadly_reactive_cysteine
KAT7,broadly_reactive_cysteine
ATE1,broadly_reactive_cysteine
RASGRP1,broadly_reactive_cysteine
CCNDBP1,broadly_reactive_cysteine
VAPB,broadly_reactive_cysteine
RASAL1,broadly_reactive_cysteine
SNAPIN,broadly_reactive_cysteine
NDUFA10,broadly_reactive_cysteine
CELF2,broadly_reactive_cysteine
PGLS,broadly_reactive_cysteine
SMC2,broadly_reactive_cysteine
ATG7,broadly_reactive_cysteine
FARS2,broadly_reactive_cysteine
ZBTB7A,broadly_reactive_cysteine
LYPLA2,broadly_reactive_cysteine
IPO7,broadly_reactive_cysteine
ARIH2,broadly_reactive_cysteine
TNFAIP8,broadly_reactive_cysteine
MAP3K6,broadly_reactive_cysteine
SLU7,broadly_reactive_cysteine
PGM3,broadly_reactive_cysteine
MOCS3,broadly_reactive_cysteine
CD2BP2,broadly_reactive_cysteine
MED26,broadly_reactive_cysteine
CNIH,broadly_reactive_cysteine
SVIL,broadly_reactive_cysteine
BAG4,broadly_reactive_cysteine
AHSA1,broadly_reactive_cysteine
