,ensembl_gene_id,hgnc_symbol,entrezgene,gene_biotype,percentage_gc_content,cds_length,chromosome_name
229,ENSG00000008710,PKD1,102465429,protein_coding,63.1,12912,16
230,ENSG00000008735,MAPK8IP2,23542,protein_coding,63.07,2475,22
231,ENSG00000008838,MED24,9862,protein_coding,50.63,3045,17
232,ENSG00000008838,MED24,102466757,protein_coding,50.63,3045,17
233,ENSG00000008853,RHOBTB2,23221,protein_coding,53.51,2250,8
234,ENSG00000008869,HEATR5B,54497,protein_coding,38.59,6216,2
235,ENSG00000008952,SEC62,7095,protein_coding,36.6,1200,3
236,ENSG00000008988,RPS20,6224,protein_coding,41.97,429,8
237,ENSG00000009307,CSDE1,7812,protein_coding,38.28,2535,1
238,ENSG00000009335,UBE3C,9690,protein_coding,42.12,3252,7
239,ENSG00000009413,REV3L,5980,protein_coding,36.9,9393,6
240,ENSG00000009694,TENM1,10178,protein_coding,37.17,8199,X
241,ENSG00000009709,PAX7,5081,protein_coding,52.35,1563,1
242,ENSG00000009724,MASP2,10747,protein_coding,50.21,2061,1
243,ENSG00000009765,IYD,389434,protein_coding,41.6,882,6
244,ENSG00000009780,FAM76A,199870,protein_coding,43.35,1026,1
245,ENSG00000009790,TRAF3IP3,80342,protein_coding,45.61,1656,1
246,ENSG00000009830,POMT2,29954,protein_coding,47.08,2253,14
247,ENSG00000009844,VTA1,51534,protein_coding,35.53,924,6
248,ENSG00000009950,MLXIPL,51085,protein_coding,56.25,2559,7
249,ENSG00000009954,BAZ1B,9031,protein_coding,43.19,4452,7
250,ENSG00000010017,RANBP9,10048,protein_coding,36.94,2190,6
251,ENSG00000010030,ETV7,51513,protein_coding,49.34,1026,6
252,ENSG00000010072,SPRTN,83932,protein_coding,41.57,1470,1
253,ENSG00000010165,METTL13,51603,protein_coding,43.61,2100,1
254,ENSG00000010219,DYRK4,8798,protein_coding,42.77,1905,12
255,ENSG00000010244,ZNF207,693217,protein_coding,38.48,1494,17
256,ENSG00000010244,ZNF207,7756,protein_coding,38.48,1494,17
257,ENSG00000010256,UQCRC1,7384,protein_coding,53.04,1443,3
258,ENSG00000010270,STARD3NL,83930,protein_coding,38.4,705,7
259,ENSG00000010278,CD9,928,protein_coding,51.04,687,12
260,ENSG00000010282,HHATL,57467,protein_coding,56.48,1515,3
261,ENSG00000010292,NCAPD2,9918,protein_coding,46.34,4206,12
262,ENSG00000010295,IFFO1,25900,protein_coding,54.32,1716,12
263,ENSG00000010310,GIPR,2696,protein_coding,54.94,1401,19
264,ENSG00000010318,PHF7,51533,protein_coding,45.18,1146,3
265,ENSG00000010319,SEMA3G,56920,protein_coding,59.63,2349,3
266,ENSG00000010322,NISCH,11188,protein_coding,53.28,4515,3
267,ENSG00000010327,STAB1,23166,protein_coding,60.65,7713,3
268,ENSG00000010361,FUZ,80199,protein_coding,52.29,1257,19
269,ENSG00000010379,SLC6A13,6540,protein_coding,47.19,1809,12
270,ENSG00000010404,IDS,3423,protein_coding,45.34,1653,X
271,ENSG00000010438,PRSS3,5646,protein_coding,42.84,915,9
272,ENSG00000010539,ZNF200,7752,protein_coding,43.67,1188,16
273,ENSG00000010610,CD4,920,protein_coding,48.55,1377,12
274,ENSG00000010626,LRRC23,10233,protein_coding,47.35,1032,12
275,ENSG00000010671,BTK,695,protein_coding,43.18,2082,X
276,ENSG00000010704,HFE,3077,protein_coding,44.85,1047,6
277,ENSG00000010803,SCMH1,22955,protein_coding,39.5,1983,1
278,ENSG00000010810,FYN,2534,protein_coding,42.42,1614,6
279,ENSG00000010818,HIVEP2,3097,protein_coding,38.32,7341,6
280,ENSG00000010932,FMO1,2326,protein_coding,40.91,1599,1
281,ENSG00000011007,TCEB3,6924,protein_coding,45.7,2397,1
282,ENSG00000011009,LYPLA2,11313,protein_coding,62.39,696,1
283,ENSG00000011021,CLCN6,1185,protein_coding,47.79,2862,1
284,ENSG00000011028,MRC2,9902,protein_coding,52.24,4440,17
285,ENSG00000011052,NME1-NME2,654364,protein_coding,48.86,879,17
286,ENSG00000011083,SLC6A7,6534,protein_coding,54.69,2001,5
287,ENSG00000011105,TSPAN9,10867,protein_coding,52.13,816,12
288,ENSG00000011114,BTBD7,55727,protein_coding,40.08,3399,14
289,ENSG00000011132,APBA3,9546,protein_coding,56.64,1728,19
290,ENSG00000011143,MKS1,54903,protein_coding,47.46,1680,17
291,ENSG00000011198,ABHD5,51099,protein_coding,40.26,1050,3
292,ENSG00000011201,ANOS1,3730,protein_coding,39.59,2043,X
293,ENSG00000011243,AKAP8L,26993,protein_coding,48.86,1941,19
294,ENSG00000011258,MBTD1,54799,protein_coding,39.5,1887,17
295,ENSG00000011260,UTP18,51096,protein_coding,40.38,1671,17
296,ENSG00000011275,RNF216,54476,protein_coding,45.52,2772,7
297,ENSG00000011295,TTC19,54902,protein_coding,41.07,1143,17
298,ENSG00000011304,PTBP1,100616459,protein_coding,61.17,1767,19
299,ENSG00000011304,PTBP1,5725,protein_coding,61.17,1767,19
300,ENSG00000011332,DPF1,8193,protein_coding,57.15,1245,19
301,ENSG00000011347,SYT7,9066,protein_coding,57.15,2061,11
302,ENSG00000011376,LARS2,23395,protein_coding,42.15,2712,3
303,ENSG00000011405,PIK3C2A,5286,protein_coding,39.84,5061,11
304,ENSG00000011422,PLAUR,5329,protein_coding,49.94,1008,19
305,ENSG00000011426,ANLN,54443,protein_coding,37.88,3375,7
306,ENSG00000011451,WIZ,58525,protein_coding,58.16,2907,19
307,ENSG00000011454,RABGAP1,2844,protein_coding,38.49,3210,9
308,ENSG00000011454,RABGAP1,23637,protein_coding,38.49,3210,9
309,ENSG00000011465,DCN,1634,protein_coding,34.92,1080,12
310,ENSG00000011478,QPCTL,54814,protein_coding,52.56,1149,19
311,ENSG00000011485,PPP5C,5536,protein_coding,50.75,1500,19
312,ENSG00000011523,CEP68,23177,protein_coding,47.81,2274,2
313,ENSG00000011566,MAP4K3,8491,protein_coding,36.9,2685,2
314,ENSG00000011590,ZBTB32,27033,protein_coding,52.49,1464,19
315,ENSG00000011600,TYROBP,7305,protein_coding,51.45,435,19
316,ENSG00000011638,TMEM159,57146,protein_coding,43.7,558,16
317,ENSG00000011677,GABRA3,2556,protein_coding,37.36,1479,X
318,ENSG00000012048,BRCA1,672,protein_coding,44.09,5655,17
319,ENSG00000012061,ERCC1,2067,protein_coding,52.1,972,19
320,ENSG00000012124,CD22,100847070,protein_coding,50.25,2544,19
321,ENSG00000012124,CD22,933,protein_coding,50.25,2544,19
322,ENSG00000012171,SEMA3B,102465526,protein_coding,60.71,2265,3
323,ENSG00000012171,SEMA3B,7869,protein_coding,60.71,2265,3
324,ENSG00000012174,MBTPS2,51360,protein_coding,38.49,1560,X
325,ENSG00000012211,PRICKLE3,4007,protein_coding,56.05,1848,X
326,ENSG00000012223,LTF,4057,protein_coding,46.95,2133,3
327,ENSG00000012232,EXTL3,2137,protein_coding,44.36,2760,8
328,ENSG00000012504,NR1H4,9971,protein_coding,39.74,1461,12
329,ENSG00000012660,ELOVL5,60481,protein_coding,41.88,981,6
330,ENSG00000012779,ALOX5,240,protein_coding,47.73,2025,10
331,ENSG00000012817,KDM5D,8284,protein_coding,38.66,4713,Y
332,ENSG00000012822,CALCOCO1,57658,protein_coding,49.2,2076,12
333,ENSG00000012963,UBR7,55148,protein_coding,43.29,1278,14
334,ENSG00000012983,MAP4K5,11183,protein_coding,37.27,2541,14
335,ENSG00000013016,EHD3,30845,protein_coding,50.13,1608,2
336,ENSG00000013275,PSMC4,5704,protein_coding,50.25,1257,19
337,ENSG00000013288,MAN2B2,23324,protein_coding,54.58,3030,4
338,ENSG00000013293,SLC7A14,57709,protein_coding,42.15,2316,3
339,ENSG00000013297,CLDN11,101928583,protein_coding,41.54,624,3
340,ENSG00000013297,CLDN11,5010,protein_coding,41.54,624,3
341,ENSG00000013306,SLC25A39,51629,protein_coding,61.11,1080,17
342,ENSG00000013364,MVP,9961,protein_coding,52.54,2682,16
343,ENSG00000013374,NUB1,51667,protein_coding,44.96,1920,7
344,ENSG00000013375,PGM3,5238,protein_coding,38.66,1713,6
345,ENSG00000013392,RWDD2A,112611,protein_coding,44.76,879,6
346,ENSG00000013441,CLK1,1195,protein_coding,41.85,1581,2
347,ENSG00000013503,POLR3B,55703,protein_coding,39.75,3402,12
348,ENSG00000013523,ANGEL1,23357,protein_coding,44.52,2013,14
349,ENSG00000013561,RNF14,9604,protein_coding,42.04,1425,5
350,ENSG00000013563,DNASE1L1,1774,protein_coding,54.47,909,X
351,ENSG00000013573,DDX11,1663,protein_coding,52.28,2913,12
352,ENSG00000013583,HEBP1,50865,protein_coding,43.52,570,12
353,ENSG00000013588,GPRC5A,693199,protein_coding,46.77,1074,12
354,ENSG00000013588,GPRC5A,9052,protein_coding,46.77,1074,12
355,ENSG00000013619,MAMLD1,10046,protein_coding,44.08,2997,X
356,ENSG00000013725,CD6,923,protein_coding,49.93,2007,11
357,ENSG00000013810,TACC3,10460,protein_coding,56.07,2517,4
358,ENSG00000014123,UFL1,23376,protein_coding,33.38,2385,6
359,ENSG00000014138,POLA2,23649,protein_coding,47.9,1797,11
360,ENSG00000014164,ZC3H3,23144,protein_coding,58.38,2847,8
361,ENSG00000014216,CAPN1,823,protein_coding,51.18,2145,11
362,ENSG00000014257,ACPP,55,protein_coding,40.4,1257,3
363,ENSG00000014641,MDH1,4190,protein_coding,38.05,1059,2
364,ENSG00000014824,SLC30A9,10463,protein_coding,36.98,1707,4
365,ENSG00000014914,MTMR11,10903,protein_coding,50.01,2130,1
366,ENSG00000014919,COX15,1355,protein_coding,42.42,1233,10
367,ENSG00000015133,CCDC88C,440193,protein_coding,51.25,6087,14
368,ENSG00000015153,YAF2,10138,protein_coding,39.02,615,12
369,ENSG00000015171,ZMYND11,10771,protein_coding,37.8,1809,10
370,ENSG00000015285,WAS,7454,protein_coding,50.82,1509,X
371,ENSG00000015413,DPEP1,1800,protein_coding,59.08,1236,16
372,ENSG00000015475,BID,637,protein_coding,52.51,726,22
373,ENSG00000015479,MATR3,9782,protein_coding,38.84,2544,5
374,ENSG00000015520,NPC1L1,29881,protein_coding,51.5,4080,7
375,ENSG00000015532,XYLT2,64132,protein_coding,56.54,2598,17
376,ENSG00000015568,RGPD5,729540,protein_coding,39.34,5298,2
377,ENSG00000015568,RGPD5,84220,protein_coding,39.34,5298,2
378,ENSG00000015592,STMN4,81551,protein_coding,48.03,777,8
379,ENSG00000015676,NUDCD3,23386,protein_coding,44.52,1086,7
380,ENSG00000016082,ISL1,3670,protein_coding,44.32,1050,5
381,ENSG00000016391,CHDH,55349,protein_coding,49.32,1785,3
382,ENSG00000016402,IL20RA,53832,protein_coding,41.2,1662,6
383,ENSG00000016490,CLCA1,1179,protein_coding,40.09,2745,1
384,ENSG00000016602,CLCA4,22802,protein_coding,37.99,2760,1
385,ENSG00000016864,GLT8D1,55830,protein_coding,44.63,1116,3
386,ENSG00000017260,ATP2C1,27032,protein_coding,37.56,2922,3
387,ENSG00000017427,IGF1,3479,protein_coding,39.66,588,12
388,ENSG00000017483,SLC38A5,92745,protein_coding,54.89,1419,X
389,ENSG00000017797,RALBP1,10928,protein_coding,41.38,1968,18
390,ENSG00000018189,RUFY3,22902,protein_coding,39.91,1863,4
391,ENSG00000018236,CNTN1,1272,protein_coding,35.21,3057,12
392,ENSG00000018280,SLC11A1,6556,protein_coding,55.34,1653,2
393,ENSG00000018408,WWTR1,25937,protein_coding,41.07,1203,3
394,ENSG00000018510,AGPS,8540,protein_coding,36.51,1977,2
395,ENSG00000018607,ZNF806,NA,unprocessed_pseudogene,40.79,NA,2
396,ENSG00000018610,CXorf56,63932,protein_coding,44.29,627,X
397,ENSG00000018625,ATP1A2,477,protein_coding,50.38,3063,1
398,ENSG00000018699,TTC27,55622,protein_coding,39.46,2532,2
399,ENSG00000018869,ZNF582,147948,protein_coding,40.84,1554,19
400,ENSG00000019102,VSIG2,23584,protein_coding,53.7,984,11
401,ENSG00000019144,PHLDB1,23187,protein_coding,54.3,4134,11
